Maximum solver step [s],Output time step [s],Delta omega [rad/s],Coefficient of speed fluctuation Cs,Maximum absolute angular acceleration [rad/s^2],Cs difference from finest case [%]
0.1,0.04,3.3823183143685087,0.5181855598843373,11.2129190461389,0.6277735221589154
0.05,0.02,3.3958881798942313,0.5202626516207435,11.225768822597573,0.2294505150657158
0.025,0.01,3.40362448226852,0.5214473500890158,11.242763312265467,0.002261388986279861
0.0125,0.005,3.4037021268495637,0.5214591423086279,11.249942786317613,0.0
